inputs,outputs
i have to go grocery shopping can you give me directions to the nearest grocery store the nearest grocery store is whole foods which is two miles away at Whole_Foods_address.  pick a quick route to go there and send the address on my map please!,sending the address and route to whole foods at Whole_Foods_address to your map.
"quickest route home.  there is home_traffic_info on the route. please pick the quickest route for me and let's go there, thanks! setting navigation to quickest route home.  how far away am i right now and what is the address?",there is home_traffic_info on the 4 mile route home
"where can i get chinese food? there is p.f. changs P.F._Changs_distance away but there have been a car collision nearby, we might get stuck in the traffic that is fine, what is the address?",p.f. changs is at P.F._Changs_address.
schedule a meeting for next week,what date and time do you want to schedule your meeting?
"where is the nearest parking garage? the nearest is dish parking at Dish_Parking_address. would you like directions there? yes, please set directions via a route that avoids all heavy traffic if possible.","unfortunately there is a Dish_Parking_traffic_info but i already sent you another route that, even if longer, will allow you to reach fast enough"
remind me that i have a meeting at work on the 12th at 5 pm in conference room 100,"okay setting a reminder for you work meeting, on the 12th at 5 pm, in conference room 100."
there will be any hail in san francisco on san_francisco_thursday? there will be no hail in san francisco on san_francisco_thursday. thanks.,anytime!
"what's the temperature going to be for the week where do you want to know the temperature for? san jose what days are you interested in? i want the whole week. in san jose this week, the temperatures will be: low of 50f and high of 70f on monday, low of 50f, high of 70f on tuesday, low of 80f, high of 100f on wednesday, low of 70f, high of 80f on thursday, low of 30f, high of 50f on friday, low of 70f, high of 90f on saturday, low of 50f, high of 70f on san_jose_sunday okay, perfect. thanks!",you're welcome!
can you give me directions to the grocery store would you like to go at whole foods or at sigona farmers market? the place with the least traffic please.,"there is Sigona_Farmers_Market_traffic_info to sigona farmers market, i will give you the directions."
where can i get gas?,the nearest gas station is Shell_distance away. need more info?
"can you set my schedule for a dentist appointment at 10 am, the 15th of this month with jon? i set your schedule for a dentist appointment at 10 am, the 15th of this month with jon.  great, thanks.",you're welcome
"what's the weather going to be today and also what is the weather going to be this week what location who you like the weather for? i need weather information for today, especially about the temperature, for downtown chicago. it will be between 80-90f in chicago today. thank you",glad to help
"what time is my meeting 1pm please set a reminder for 1pm for meeting  set reminder for meeting meeting_date at 1pm? yes please.  reminder is set for meeting on meeting_date at 1 pm. perfect, thanks.",no problem.
tell me about my lab appointment,your lab appointment is with your father on lab_appointment_date at 5 pm
is there a grocery store close? the only grocery store is sigona farmers market. what is the address?,sigona farmers market is located at Sigona_Farmers_Market_address. need anything else?
what is the weather next week for which city would you like to know the weather for next week?  find out if there will be clear skies in exeter this week. there will not be clear skies in exeter this week. thanks car.,not a problem.
"find me a nearby tea or coffee shop cafe venetia is the only spot i can find. it is Cafe_Venetia_distance away and there is a road block nearby try to find a route to reach there with the shortest distance please! i sent the directions on your screen, drive carefully! thank you car!",anytime!
